hostel_id,date,weekday,borrowed_books,avg_study_hours,exam_flag,festival_flag,hostel_capacity,threshold,high_demand
H01,2024-03-09,0,14,4.42,0,0,151,16.2,0
H01,2024-03-10,0,7,4.76,0,0,151,16.2,0
H01,2024-03-11,1,10,4.65,0,0,151,16.2,0
H01,2024-03-12,1,11,4.33,0,0,151,16.2,0
H01,2024-03-13,1,12,3.85,0,0,151,16.2,0
H01,2024-03-14,1,13,4.1,0,0,151,16.2,0
H01,2024-03-15,1,12,5.57,0,0,151,16.2,0
H01,2024-03-16,0,6,4.46,0,0,151,16.2,0
H01,2024-03-17,0,11,3.23,0,0,151,16.2,0
H01,2024-03-18,1,15,4.83,0,0,151,16.2,0
H01,2024-03-19,1,10,4.42,0,0,151,16.2,0
H01,2024-03-20,1,12,6.57,0,0,151,16.2,0
H01,2024-03-21,1,14,7.17,1,0,151,16.2,1
H01,2024-03-22,1,23,6.86,1,0,151,16.2,1
H01,2024-03-23,0,17,6.37,1,0,151,16.2,1
H01,2024-03-24,0,17,5.76,1,0,151,16.2,1
H01,2024-03-25,1,22,7.0,1,0,151,16.2,1
H01,2024-03-26,1,26,7.0,1,0,151,16.2,1
H01,2024-03-27,1,17,6.0,1,0,151,16.2,1
H01,2024-03-28,1,22,7.0,1,0,151,16.2,1
H01,2024-03-29,1,34,7.06,1,1,151,16.2,1
H01,2024-03-30,0,20,6.75,1,1,151,16.2,1
H01,2024-03-31,0,21,5.65,1,1,151,16.2,1
H01,2024-04-01,1,19,7.45,1,0,151,16.2,1
H01,2024-04-02,1,17,7.91,1,0,151,16.2,1
H01,2024-04-03,1,24,7.24,1,0,151,16.2,1
H01,2024-04-04,1,10,4.13,0,0,151,16.2,0
H01,2024-04-05,1,13,4.61,0,0,151,16.2,0
H01,2024-04-06,0,11,4.07,0,0,151,16.2,0
H01,2024-04-07,0,12,4.34,0,0,151,16.2,0
H01,2024-04-08,1,9,4.09,0,0,151,16.2,0
H01,2024-04-09,1,22,5.54,0,0,151,16.2,1
H01,2024-04-10,1,12,4.03,0,0,151,16.2,0
H01,2024-04-11,1,15,4.33,0,0,151,16.2,0
H01,2024-04-12,1,10,3.83,0,0,151,16.2,0
H01,2024-04-13,0,10,3.7,0,0,151,16.2,0
H01,2024-04-14,0,8,3.25,0,0,151,16.2,0
H01,2024-04-15,1,8,5.02,0,0,151,16.2,0
H01,2024-04-16,1,20,5.08,0,0,151,16.2,1
H01,2024-04-17,1,14,4.7,0,0,151,16.2,0
H01,2024-04-18,1,12,4.81,0,0,151,16.2,0
H01,2024-04-19,1,12,4.59,0,0,151,16.2,0
H01,2024-04-20,0,9,3.72,0,0,151,16.2,0
H01,2024-04-21,0,2,4.2,0,0,151,16.2,0
H01,2024-04-22,1,15,4.78,0,0,151,16.2,0
H01,2024-04-23,1,14,4.7,0,0,151,16.2,0
H01,2024-04-24,1,16,4.14,0,0,151,16.2,0
H01,2024-04-25,1,10,4.18,0,0,151,16.2,0
H01,2024-04-26,1,16,2.48,0,0,151,16.2,0
H01,2024-04-27,0,14,3.95,0,0,151,16.2,0
H01,2024-04-28,0,11,4.94,0,0,151,16.2,0
H01,2024-04-29,1,14,4.32,0,0,151,16.2,0
H01,2024-04-30,1,18,4.58,0,0,151,16.2,1
H01,2024-05-01,1,14,4.68,0,0,151,16.2,0
H01,2024-05-02,1,10,3.32,0,1,151,16.2,0
H01,2024-05-03,1,23,5.7,0,1,151,16.2,1
H01,2024-05-04,0,13,3.95,0,1,151,16.2,0
H01,2024-05-05,0,4,4.91,0,0,151,16.2,0
H01,2024-05-06,1,14,4.73,0,0,151,16.2,0
H01,2024-05-07,1,11,3.68,0,0,151,16.2,0
H01,2024-05-08,1,12,5.46,0,0,151,16.2,0
H01,2024-05-09,1,9,4.0,0,0,151,16.2,0
H01,2024-05-10,1,12,4.76,0,0,151,16.2,0
H01,2024-05-11,0,11,4.03,0,0,151,16.2,0
H01,2024-05-12,0,13,3.87,0,0,151,16.2,0
H01,2024-05-13,1,13,4.4,0,0,151,16.2,0
H01,2024-05-14,1,11,4.22,0,0,151,16.2,0
H01,2024-05-15,1,10,3.94,0,0,151,16.2,0
H01,2024-05-16,1,12,3.69,0,0,151,16.2,0
H01,2024-05-17,1,11,4.44,0,0,151,16.2,0
H01,2024-05-18,0,11,4.21,0,0,151,16.2,0
H01,2024-05-19,0,8,3.49,0,0,151,16.2,0
H01,2024-05-20,1,13,4.43,0,0,151,16.2,0
H01,2024-05-21,1,9,3.85,0,0,151,16.2,0
H01,2024-05-22,1,12,4.19,0,0,151,16.2,0
H01,2024-05-23,1,13,5.66,0,0,151,16.2,0
H01,2024-05-24,1,13,3.14,0,0,151,16.2,0
H01,2024-05-25,0,7,4.54,0,0,151,16.2,0
H01,2024-05-26,0,8,4.37,0,0,151,16.2,0
H01,2024-05-27,1,12,4.4,0,0,151,16.2,0
H01,2024-05-28,1,12,4.05,0,0,151,16.2,0
H01,2024-05-29,1,9,4.59,0,0,151,16.2,0
H01,2024-05-30,1,12,4.16,0,0,151,16.2,0
H01,2024-05-31,1,10,4.36,0,0,151,16.2,0
H01,2024-06-01,0,8,3.79,0,0,151,16.2,0
H01,2024-06-02,0,12,3.21,0,0,151,16.2,0
H01,2024-06-03,1,16,4.63,0,0,151,16.2,0
H01,2024-06-04,1,17,3.45,0,0,151,16.2,1
H01,2024-06-05,1,13,5.28,0,0,151,16.2,0
H01,2024-06-06,1,17,3.97,0,0,151,16.2,1
H01,2024-06-07,1,12,3.08,0,0,151,16.2,0
H01,2024-06-08,0,9,4.36,0,0,151,16.2,0
H01,2024-06-09,0,13,2.41,0,0,151,16.2,0
H01,2024-06-10,1,11,4.56,0,0,151,16.2,0
H01,2024-06-11,1,12,2.6,0,0,151,16.2,0
H01,2024-06-12,1,15,3.9,0,0,151,16.2,0
H01,2024-06-13,1,13,4.55,0,0,151,16.2,0
H01,2024-06-14,1,10,5.05,0,0,151,16.2,0
H01,2024-06-15,0,9,3.33,0,0,151,16.2,0
H01,2024-06-16,0,5,4.46,0,0,151,16.2,0
H01,2024-06-17,1,9,4.33,0,0,151,16.2,0
H01,2024-06-18,1,10,3.83,0,0,151,16.2,0
H01,2024-06-19,1,8,4.89,0,0,151,16.2,0
H01,2024-06-20,1,8,3.62,0,0,151,16.2,0
H01,2024-06-21,1,12,4.65,0,0,151,16.2,0
H01,2024-06-22,0,9,3.46,0,0,151,16.2,0
H01,2024-06-23,0,5,3.87,0,0,151,16.2,0
H01,2024-06-24,1,11,3.99,0,0,151,16.2,0
H01,2024-06-25,1,15,3.63,0,0,151,16.2,0
H01,2024-06-26,1,9,3.41,0,0,151,16.2,0
H01,2024-06-27,1,10,3.68,0,0,151,16.2,0
H01,2024-06-28,1,12,2.66,0,0,151,16.2,0
H01,2024-06-29,0,11,3.03,0,0,151,16.2,0
H01,2024-06-30,0,15,4.07,0,0,151,16.2,0
H01,2024-07-01,1,13,3.9,0,0,151,16.2,0
H01,2024-07-02,1,18,3.92,0,0,151,16.2,1
H01,2024-07-03,1,10,4.01,0,0,151,16.2,0
H01,2024-07-04,1,12,3.43,0,0,151,16.2,0
H01,2024-07-05,1,16,4.45,0,0,151,16.2,0
H01,2024-07-06,0,9,3.14,0,0,151,16.2,0
H01,2024-07-07,0,10,2.84,0,0,151,16.2,0
H01,2024-07-08,1,13,4.92,0,0,151,16.2,0
H01,2024-07-09,1,14,3.79,0,0,151,16.2,0
H01,2024-07-10,1,4,4.6,0,0,151,16.2,0
H01,2024-07-11,1,11,3.23,0,0,151,16.2,0
H01,2024-07-12,1,13,3.21,0,0,151,16.2,0
H01,2024-07-13,0,10,3.23,0,0,151,16.2,0
H01,2024-07-14,0,11,4.08,0,0,151,16.2,0
H01,2024-07-15,1,7,2.45,0,0,151,16.2,0
H01,2024-07-16,1,9,3.49,0,0,151,16.2,0
H01,2024-07-17,1,12,3.21,0,0,151,16.2,0
H01,2024-07-18,1,5,3.64,0,0,151,16.2,0
H01,2024-07-19,1,19,3.48,0,0,151,16.2,1
H01,2024-07-20,0,16,2.9,0,0,151,16.2,0
H01,2024-07-21,0,7,2.79,0,0,151,16.2,0
H01,2024-07-22,1,6,4.0,0,0,151,16.2,0
H01,2024-07-23,1,13,3.58,0,0,151,16.2,0
H01,2024-07-24,1,10,3.21,0,0,151,16.2,0
H01,2024-07-25,1,12,3.08,0,0,151,16.2,0
H01,2024-07-26,1,15,5.23,0,0,151,16.2,0
H01,2024-07-27,0,13,2.95,0,0,151,16.2,0
H01,2024-07-28,0,3,2.49,0,0,151,16.2,0
H01,2024-07-29,1,5,5.11,0,0,151,16.2,0
H01,2024-07-30,1,8,3.15,0,0,151,16.2,0
H01,2024-07-31,1,4,2.41,0,0,151,16.2,0
H01,2024-08-01,1,8,3.34,0,0,151,16.2,0
H01,2024-08-02,1,15,3.43,0,0,151,16.2,0
H01,2024-08-03,0,11,2.84,0,1,151,16.2,0
H01,2024-08-04,0,10,2.12,0,1,151,16.2,0
H01,2024-08-05,1,13,3.58,0,1,151,16.2,0
H01,2024-08-06,1,12,3.77,0,0,151,16.2,0
H01,2024-08-07,1,5,3.33,0,0,151,16.2,0
H01,2024-08-08,1,16,3.28,0,0,151,16.2,0
H01,2024-08-09,1,10,3.27,0,0,151,16.2,0
H01,2024-08-10,0,3,4.02,0,0,151,16.2,0
H01,2024-08-11,0,5,3.28,0,0,151,16.2,0
H01,2024-08-12,1,5,4.11,0,0,151,16.2,0
H01,2024-08-13,1,11,3.25,0,0,151,16.2,0
H01,2024-08-14,1,10,3.04,0,0,151,16.2,0
H01,2024-08-15,1,4,3.81,0,0,151,16.2,0
H01,2024-08-16,1,10,3.62,0,0,151,16.2,0
H01,2024-08-17,0,12,3.16,0,0,151,16.2,0
H01,2024-08-18,0,4,3.99,0,0,151,16.2,0
H01,2024-08-19,1,7,1.85,0,0,151,16.2,0
H01,2024-08-20,1,11,4.51,0,0,151,16.2,0
H01,2024-08-21,1,12,3.09,0,0,151,16.2,0
H01,2024-08-22,1,8,3.03,0,0,151,16.2,0
H01,2024-08-23,1,10,3.95,0,0,151,16.2,0
H01,2024-08-24,0,14,2.83,0,0,151,16.2,0
H01,2024-08-25,0,10,2.23,0,0,151,16.2,0
H01,2024-08-26,1,6,2.46,0,0,151,16.2,0
H01,2024-08-27,1,14,2.99,0,0,151,16.2,0
H01,2024-08-28,1,13,4.26,0,0,151,16.2,0
H01,2024-08-29,1,6,4.02,0,0,151,16.2,0
H01,2024-08-30,1,8,4.28,0,0,151,16.2,0
H01,2024-08-31,0,8,3.84,0,0,151,16.2,0
H01,2024-09-01,0,10,3.57,0,0,151,16.2,0
H01,2024-09-02,1,6,3.14,0,0,151,16.2,0
H01,2024-09-03,1,6,2.94,0,0,151,16.2,0
H01,2024-09-04,1,7,1.75,0,0,151,16.2,0
H01,2024-09-05,1,7,2.78,0,0,151,16.2,0
H01,2024-09-06,1,7,3.5,0,0,151,16.2,0
H01,2024-09-07,0,12,1.92,0,0,151,16.2,0
H01,2024-09-08,0,9,3.44,0,0,151,16.2,0
H01,2024-09-09,1,14,3.01,0,0,151,16.2,0
H01,2024-09-10,1,12,3.17,0,0,151,16.2,0
H01,2024-09-11,1,12,2.46,0,0,151,16.2,0
H01,2024-09-12,1,9,2.89,0,0,151,16.2,0
H01,2024-09-13,1,11,3.09,0,0,151,16.2,0
H01,2024-09-14,0,5,3.33,0,0,151,16.2,0
H01,2024-09-15,0,10,3.5,0,0,151,16.2,0
H01,2024-09-16,1,11,2.62,0,0,151,16.2,0
H01,2024-09-17,1,6,2.9,0,0,151,16.2,0
H01,2024-09-18,1,9,2.75,0,0,151,16.2,0
H01,2024-09-19,1,12,2.35,0,0,151,16.2,0
H01,2024-09-20,1,7,3.65,0,0,151,16.2,0
H01,2024-09-21,0,8,1.91,0,0,151,16.2,0
H01,2024-09-22,0,2,1.74,0,0,151,16.2,0
H01,2024-09-23,1,8,2.76,0,0,151,16.2,0
H01,2024-09-24,1,7,3.31,0,0,151,16.2,0
H01,2024-09-25,1,10,3.37,0,0,151,16.2,0
H01,2024-09-26,1,10,3.99,0,0,151,16.2,0
H01,2024-09-27,1,6,3.22,0,0,151,16.2,0
H01,2024-09-28,0,10,3.26,0,0,151,16.2,0
H01,2024-09-29,0,5,3.22,0,0,151,16.2,0
H01,2024-09-30,1,3,3.23,0,0,151,16.2,0
H01,2024-10-01,1,6,4.13,0,0,151,16.2,0
H01,2024-10-02,1,7,3.08,0,0,151,16.2,0
H01,2024-10-03,1,11,2.38,0,0,151,16.2,0
H01,2024-10-04,1,9,3.95,0,0,151,16.2,0
H01,2024-10-05,0,7,2.76,0,0,151,16.2,0
H01,2024-10-06,0,5,2.57,0,0,151,16.2,0
H01,2024-10-07,1,13,3.34,0,0,151,16.2,0
H01,2024-10-08,1,10,3.05,0,0,151,16.2,0
H01,2024-10-09,1,7,3.16,0,0,151,16.2,0
H01,2024-10-10,1,12,2.83,0,0,151,16.2,0
H01,2024-10-11,1,8,3.73,0,0,151,16.2,0
H01,2024-10-12,0,6,2.81,0,0,151,16.2,0
H01,2024-10-13,0,3,2.35,0,0,151,16.2,0
H01,2024-10-14,1,8,3.28,0,0,151,16.2,0
H01,2024-10-15,1,12,4.93,1,0,151,16.2,1
H01,2024-10-16,1,16,3.76,1,0,151,16.2,0
H01,2024-10-17,1,15,4.67,1,0,151,16.2,1
H01,2024-10-18,1,17,4.55,1,0,151,16.2,1
H01,2024-10-19,0,12,4.49,1,0,151,16.2,0
H01,2024-10-20,0,11,3.89,1,0,151,16.2,0
H01,2024-10-21,1,13,5.27,1,0,151,16.2,1
H01,2024-10-22,1,16,5.3,1,0,151,16.2,1
H01,2024-10-23,1,10,5.4,1,0,151,16.2,1
H01,2024-10-24,1,14,4.93,1,0,151,16.2,1
H01,2024-10-25,1,15,5.14,1,0,151,16.2,1
H01,2024-10-26,0,9,4.54,1,0,151,16.2,0
H01,2024-10-27,0,16,5.01,1,0,151,16.2,1
H01,2024-10-28,1,19,4.32,1,0,151,16.2,1
H01,2024-10-29,1,13,2.59,0,0,151,16.2,0
H01,2024-10-30,1,6,3.24,0,0,151,16.2,0
H01,2024-10-31,1,4,3.83,0,0,151,16.2,0
H01,2024-11-01,1,7,3.1,0,0,151,16.2,0
H01,2024-11-02,0,4,3.57,0,0,151,16.2,0
H01,2024-11-03,0,8,3.45,0,0,151,16.2,0
H01,2024-11-04,1,8,3.78,0,0,151,16.2,0
H01,2024-11-05,1,13,3.8,0,0,151,16.2,0
H01,2024-11-06,1,11,3.12,0,0,151,16.2,0
H01,2024-11-07,1,4,2.69,0,0,151,16.2,0
H01,2024-11-08,1,8,3.4,0,0,151,16.2,0
H01,2024-11-09,0,6,2.88,0,0,151,16.2,0
H01,2024-11-10,0,11,2.48,0,0,151,16.2,0
H01,2024-11-11,1,8,3.69,0,0,151,16.2,0
H01,2024-11-12,1,12,2.66,0,0,151,16.2,0
H01,2024-11-13,1,11,3.73,0,0,151,16.2,0
H01,2024-11-14,1,7,4.3,0,0,151,16.2,0
H01,2024-11-15,1,9,3.59,0,0,151,16.2,0
H01,2024-11-16,0,4,3.79,0,0,151,16.2,0
H01,2024-11-17,0,8,2.62,0,0,151,16.2,0
H01,2024-11-18,1,10,2.87,0,0,151,16.2,0
H01,2024-11-19,1,11,4.08,0,0,151,16.2,0
H01,2024-11-20,1,13,3.49,0,0,151,16.2,0
H01,2024-11-21,1,8,3.48,0,0,151,16.2,0
H01,2024-11-22,1,9,2.87,0,0,151,16.2,0
H01,2024-11-23,0,6,3.39,0,0,151,16.2,0
H01,2024-11-24,0,8,3.27,0,0,151,16.2,0
H01,2024-11-25,1,2,3.9,0,0,151,16.2,0
H01,2024-11-26,1,8,3.22,0,0,151,16.2,0
H01,2024-11-27,1,23,3.44,0,1,151,16.2,1
H01,2024-11-28,1,14,3.83,0,1,151,16.2,0
H01,2024-11-29,1,14,4.84,0,1,151,16.2,0
H01,2024-11-30,0,4,2.14,0,0,151,16.2,0
H01,2024-12-01,0,6,3.49,0,0,151,16.2,0
H01,2024-12-02,1,14,4.57,0,0,151,16.2,0
H01,2024-12-03,1,10,3.49,0,0,151,16.2,0
H01,2024-12-04,1,14,3.24,0,0,151,16.2,0
H01,2024-12-05,1,15,3.71,0,0,151,16.2,0
H01,2024-12-06,1,6,3.37,0,0,151,16.2,0
H01,2024-12-07,0,10,3.02,0,0,151,16.2,0
H01,2024-12-08,0,5,3.31,0,0,151,16.2,0
H01,2024-12-09,1,15,3.33,0,0,151,16.2,0
H01,2024-12-10,1,10,5.0,0,0,151,16.2,0
H01,2024-12-11,1,10,3.33,0,0,151,16.2,0
H01,2024-12-12,1,10,4.35,0,0,151,16.2,0
H01,2024-12-13,1,14,3.73,0,0,151,16.2,0
H01,2024-12-14,0,5,2.96,0,0,151,16.2,0
H01,2024-12-15,0,6,3.83,0,0,151,16.2,0
H01,2024-12-16,1,10,3.48,0,0,151,16.2,0
H01,2024-12-17,1,12,3.04,0,0,151,16.2,0
H01,2024-12-18,1,12,4.14,0,0,151,16.2,0
H01,2024-12-19,1,14,3.99,0,0,151,16.2,0
H01,2024-12-20,1,15,4.4,0,0,151,16.2,0
H01,2024-12-21,0,12,3.74,0,0,151,16.2,0
H01,2024-12-22,0,5,3.52,0,0,151,16.2,0
H01,2024-12-23,1,14,4.8,0,0,151,16.2,0
H01,2024-12-24,1,11,3.69,0,0,151,16.2,0
H01,2024-12-25,1,8,3.35,0,0,151,16.2,0
H01,2024-12-26,1,14,4.45,0,0,151,16.2,0
H01,2024-12-27,1,10,3.64,0,0,151,16.2,0
H01,2024-12-28,0,10,3.3,0,0,151,16.2,0
H01,2024-12-29,0,8,3.43,0,0,151,16.2,0
H01,2024-12-30,1,11,4.14,0,0,151,16.2,0
H02,2024-01-01,1,15,4.33,0,0,113,28.2,0
H02,2024-01-02,1,33,2.9,0,0,113,28.2,1
H02,2024-01-03,1,21,3.36,0,0,113,28.2,0
H02,2024-01-04,1,28,3.55,0,0,113,28.2,0
H02,2024-01-05,1,28,3.77,0,0,113,28.2,0
H02,2024-01-06,0,15,2.36,0,0,113,28.2,0
H02,2024-01-07,0,15,2.42,0,0,113,28.2,0
H02,2024-01-08,1,16,4.65,0,0,113,28.2,0
H02,2024-01-09,1,27,3.88,0,0,113,28.2,0
H02,2024-01-10,1,19,2.99,0,0,113,28.2,0
H02,2024-01-11,1,20,3.26,0,0,113,28.2,0
H02,2024-01-12,1,16,3.68,0,0,113,28.2,0
H02,2024-01-13,0,24,4.84,0,0,113,28.2,0
H02,2024-01-14,0,19,3.19,0,0,113,28.2,0
H02,2024-01-15,1,24,3.11,0,0,113,28.2,0
H02,2024-01-16,1,26,3.68,0,0,113,28.2,0
H02,2024-01-17,1,28,4.09,0,0,113,28.2,0
H02,2024-01-18,1,17,3.93,0,0,113,28.2,0
H02,2024-01-19,1,30,4.2,0,0,113,28.2,1
H02,2024-01-20,0,17,3.97,0,0,113,28.2,0
H02,2024-01-21,0,18,3.18,0,0,113,28.2,0
H02,2024-01-22,1,24,4.75,0,0,113,28.2,0
H02,2024-01-23,1,28,3.86,0,0,113,28.2,0
H02,2024-01-24,1,36,4.78,0,0,113,28.2,1
H02,2024-01-25,1,32,3.98,0,0,113,28.2,1
H02,2024-01-26,1,31,5.52,0,0,113,28.2,1
H02,2024-01-27,0,28,3.85,0,0,113,28.2,0
H02,2024-01-28,0,19,4.32,0,0,113,28.2,0
H02,2024-01-29,1,18,4.85,0,0,113,28.2,0
H02,2024-01-30,1,23,3.68,0,0,113,28.2,0
H02,2024-01-31,1,37,3.82,0,0,113,28.2,1
H02,2024-02-01,1,39,4.56,0,1,113,28.2,1
H02,2024-02-02,1,26,4.71,0,1,113,28.2,0
H02,2024-02-03,0,31,4.22,0,1,113,28.2,1
H02,2024-02-04,0,22,4.16,0,0,113,28.2,0
H02,2024-02-05,1,26,3.35,0,0,113,28.2,0
H02,2024-02-06,1,16,3.38,0,0,113,28.2,0
H02,2024-02-07,1,19,4.4,0,0,113,28.2,0
H02,2024-02-08,1,23,4.76,0,0,113,28.2,0
H02,2024-02-09,1,26,4.31,0,0,113,28.2,0
H02,2024-02-10,0,13,4.04,0,0,113,28.2,0
H02,2024-02-11,0,18,4.53,0,0,113,28.2,0
H02,2024-02-12,1,36,4.09,0,0,113,28.2,1
H02,2024-02-13,1,35,3.57,0,0,113,28.2,1
H02,2024-02-14,1,28,4.43,0,0,113,28.2,0
H02,2024-02-15,1,29,4.53,0,0,113,28.2,1
H02,2024-02-16,1,26,5.15,0,0,113,28.2,0
H02,2024-02-17,0,23,3.44,0,0,113,28.2,0
H02,2024-02-18,0,26,4.59,0,0,113,28.2,0
H02,2024-02-19,1,28,4.15,0,0,113,28.2,0
H02,2024-02-20,1,27,5.14,0,0,113,28.2,0
H02,2024-02-21,1,21,4.25,0,0,113,28.2,0
H02,2024-02-22,1,24,4.65,0,0,113,28.2,0
H02,2024-02-23,1,32,4.49,0,0,113,28.2,1
H02,2024-02-24,0,19,3.74,0,0,113,28.2,0
H02,2024-02-25,0,20,4.12,0,0,113,28.2,0
H02,2024-02-26,1,36,5.27,0,0,113,28.2,1
H02,2024-02-27,1,42,4.67,0,0,113,28.2,1
H02,2024-02-28,1,26,5.92,0,0,113,28.2,0
H02,2024-02-29,1,31,5.05,0,0,113,28.2,1
H02,2024-03-01,1,32,4.26,0,0,113,28.2,1
H02,2024-03-02,0,16,4.03,0,0,113,28.2,0
H02,2024-03-03,0,21,4.38,0,0,113,28.2,0
H02,2024-03-04,1,28,3.92,0,0,113,28.2,0
H02,2024-03-05,1,26,4.67,0,0,113,28.2,0
H02,2024-03-06,1,27,4.57,0,0,113,28.2,0
H02,2024-03-07,1,31,5.11,0,0,113,28.2,1
H02,2024-03-08,1,36,5.41,0,0,113,28.2,1
H02,2024-03-09,0,20,5.32,0,0,113,28.2,0
H02,2024-03-10,0,25,5.01,0,0,113,28.2,0
H02,2024-03-11,1,27,4.04,0,0,113,28.2,0
H02,2024-03-12,1,24,4.34,0,0,113,28.2,0
H02,2024-03-13,1,18,4.03,0,0,113,28.2,0
H02,2024-03-14,1,29,3.97,0,0,113,28.2,1
H02,2024-03-15,1,28,4.21,0,0,113,28.2,0
H02,2024-03-16,0,22,4.36,0,0,113,28.2,0
H02,2024-03-17,0,24,4.42,0,0,113,28.2,0
H02,2024-03-18,1,26,4.98,0,0,113,28.2,0
H02,2024-03-19,1,48,5.85,0,0,113,28.2,1
H02,2024-03-20,1,35,5.51,0,0,113,28.2,1
H02,2024-03-21,1,30,4.48,0,0,113,28.2,1
H02,2024-03-22,1,27,5.53,0,0,113,28.2,0
H02,2024-03-23,0,23,3.63,0,0,113,28.2,0
H02,2024-03-24,0,20,4.0,0,0,113,28.2,0
H02,2024-03-25,1,29,4.46,0,0,113,28.2,1
H02,2024-03-26,1,29,5.27,0,0,113,28.2,1
H02,2024-03-27,1,20,4.98,0,0,113,28.2,0
H02,2024-03-28,1,25,5.15,0,0,113,28.2,0
H02,2024-03-29,1,34,4.36,0,0,113,28.2,1
H02,2024-03-30,0,18,3.68,0,0,113,28.2,0
H02,2024-03-31,0,26,5.41,0,0,113,28.2,0
H02,2024-04-01,1,27,4.8,0,0,113,28.2,0
H02,2024-04-02,1,37,3.85,0,0,113,28.2,1
H02,2024-04-03,1,19,4.3,0,0,113,28.2,0
H02,2024-04-04,1,43,4.86,0,0,113,28.2,1
H02,2024-04-05,1,25,4.63,0,0,113,28.2,0
H02,2024-04-06,0,20,4.59,0,0,113,28.2,0
